Language;Average Household Income ($);Data Points
Puppet;87589.29;112
Haskell;89973.82;191
PHP;94031.19;978
CoffeeScript;94890.80;435
VimL;94967.11;532
Shell;96930.54;979
Lua;96930.69;101
Erlang;97306.55;168
Clojure;97500.00;269
Python;97578.87;2314
JavaScript;97598.75;3443
Emacs Lisp;97774.65;355
C#;97823.31;665
Ruby;98238.74;3242
C++;99147.93;845
CSS;99881.40;527
Perl;100295.45;990
C;100766.51;2120
Go;101158.01;231
Scala;101460.91;243
ColdFusion;101536.70;109
Objective-C;101801.60;562
Groovy;102650.86;116
Java;103179.39;1402
XSLT;106199.19;123
ActionScript;108119.47;113
